timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], clocks_throttle_reasons.gpu_idle, clocks_throttle_reasons.applications_clocks_setting, clocks_throttle_reasons.sw_power_cap, clocks_throttle_reasons.hw_slowdown
2020/11/21 07:28:36.980, 154.40 W, 1710 MHz, 6800 MHz, 1710 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:28:38.989, 154.77 W, 1680 MHz, 6800 MHz, 1680 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:28:40.995, 60.75 W, 2010 MHz, 7000 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:28:43.000, 25.90 W, 255 MHz, 405 MHz, 255 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 07:28:45.039, 21.90 W, 210 MHz, 405 MHz, 210 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 07:28:47.078, 21.93 W, 210 MHz, 405 MHz, 210 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 07:28:49.116, 21.78 W, 210 MHz, 405 MHz, 210 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 07:28:51.154, 26.94 W, 1755 MHz, 6800 MHz, 1755 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:28:53.186, 98.11 W, 1755 MHz, 6800 MHz, 1725 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:28:55.194, 147.33 W, 1560 MHz, 6800 MHz, 1560 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:28:57.198, 154.51 W, 1320 MHz, 6800 MHz, 1320 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:28:59.203, 129.90 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:29:01.209, 149.59 W, 1395 MHz, 6800 MHz, 1395 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:29:03.213, 110.56 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:29:05.217, 153.36 W, 1650 MHz, 6800 MHz, 1650 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:29:07.221, 154.38 W, 1695 MHz, 6800 MHz, 1695 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:29:09.226, 153.95 W, 1740 MHz, 6800 MHz, 1740 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:29:11.230, 137.00 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:29:13.234, 59.98 W, 2010 MHz, 7000 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:29:15.238, 25.94 W, 225 MHz, 810 MHz, 225 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 07:29:17.269, 22.00 W, 210 MHz, 405 MHz, 210 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 07:29:19.306, 21.61 W, 210 MHz, 405 MHz, 210 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 07:29:21.343, 21.72 W, 210 MHz, 405 MHz, 210 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 07:29:23.380, 35.96 W, 1755 MHz, 6800 MHz, 1755 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:29:25.410, 123.49 W, 1545 MHz, 6800 MHz, 1545 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:29:27.413, 152.84 W, 1470 MHz, 6800 MHz, 1470 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:29:29.417, 153.57 W, 1515 MHz, 6800 MHz, 1515 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:29:31.423, 141.45 W, 1905 MHz, 6800 MHz, 1905 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:29:33.429, 151.34 W, 1485 MHz, 6800 MHz, 1485 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:29:35.435, 111.03 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:29:37.439, 131.62 W, 1890 MHz, 6800 MHz, 1890 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:29:39.442, 153.79 W, 1620 MHz, 6800 MHz, 1620 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:29:41.448, 153.41 W, 1800 MHz, 6800 MHz, 1800 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:29:43.454, 153.85 W, 1410 MHz, 6800 MHz, 1410 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:29:45.461, 154.27 W, 1635 MHz, 6800 MHz, 1635 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:29:47.466, 154.56 W, 1635 MHz, 6800 MHz, 1635 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:29:49.472, 109.86 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:29:51.477, 60.58 W, 2010 MHz, 7000 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:29:53.481, 25.89 W, 210 MHz, 810 MHz, 210 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 07:29:55.514, 22.08 W, 210 MHz, 405 MHz, 210 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 07:29:57.550, 21.83 W, 210 MHz, 405 MHz, 210 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 07:29:59.587, 21.89 W, 210 MHz, 405 MHz, 210 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 07:30:01.625, 38.88 W, 1755 MHz, 6800 MHz, 1755 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:30:03.652, 145.71 W, 1695 MHz, 6800 MHz, 1695 MHz, Not Active, Not Active, Active, Not Active
