CPU Family,CPU,GPU Family,GPU Model,Config,Mode,Precision,Model,Power Limit,Batches per run,REFERENCE
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus,Train,FP32,vgg16-48,160,50,-nan
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus-inference,Inference,FP16,alexnet-768,190,50,"13079,8"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus-inference,Inference,FP16,inception3-96,190,50,"1076,37"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus-inference,Inference,FP16,inception4-24,190,50,654
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus-inference,Inference,FP16,resnet152-64,190,50,"1009,98"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus-inference,Inference,FP16,resnet50-96,190,50,"2653,82"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus-inference,Inference,FP16,vgg16-96,190,50,944
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus,Train,FP16,alexnet-768,190,50,"4731,12"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus,Train,FP16,inception3-96,190,50,337
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus,Train,FP16,inception4-24,190,50,147
