timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], clocks_throttle_reasons.gpu_idle, clocks_throttle_reasons.applications_clocks_setting, clocks_throttle_reasons.sw_power_cap, clocks_throttle_reasons.hw_slowdown
2020/11/21 07:02:28.125, 165.83 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:02:30.129, 171.76 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:02:32.136, 132.80 W, 1770 MHz, 6800 MHz, 1770 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:02:34.143, 135.61 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:02:36.147, 142.28 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:02:38.150, 149.48 W, 1950 MHz, 6800 MHz, 1950 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:02:40.154, 172.84 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:02:42.158, 169.54 W, 1980 MHz, 6800 MHz, 1980 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:02:44.162, 109.93 W, 1965 MHz, 6800 MHz, 1965 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:02:46.166, 196.16 W, 1995 MHz, 6800 MHz, 1995 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:02:48.170, 196.29 W, 1995 MHz, 6800 MHz, 1995 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:02:50.175, 196.15 W, 1995 MHz, 6800 MHz, 1995 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:02:52.180, 197.76 W, 1995 MHz, 6800 MHz, 1995 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:02:54.185, 64.43 W, 2010 MHz, 7000 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:02:56.189, 48.82 W, 345 MHz, 5000 MHz, 345 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 07:02:58.219, 34.75 W, 210 MHz, 810 MHz, 210 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 07:03:00.251, 25.23 W, 210 MHz, 405 MHz, 210 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 07:03:02.290, 22.59 W, 210 MHz, 405 MHz, 210 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 07:03:04.328, 22.49 W, 210 MHz, 405 MHz, 210 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 07:03:06.369, 46.84 W, 1755 MHz, 6800 MHz, 1755 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:03:08.397, 135.48 W, 2025 MHz, 6800 MHz, 2025 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:03:10.401, 148.18 W, 2025 MHz, 6800 MHz, 2025 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:03:12.405, 133.24 W, 2025 MHz, 6800 MHz, 2025 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:03:14.408, 137.28 W, 2025 MHz, 6800 MHz, 2025 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:03:16.411, 170.13 W, 2025 MHz, 6800 MHz, 2025 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:03:18.414, 165.43 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:03:20.419, 186.38 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:03:22.423, 128.91 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:03:24.426, 133.53 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:03:26.431, 136.03 W, 1995 MHz, 6800 MHz, 1995 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:03:28.434, 146.43 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:03:30.437, 165.95 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:03:32.441, 164.39 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:03:34.444, 138.30 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:03:36.447, 147.94 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:03:38.451, 135.45 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
